Common Curriculum,,,,,,,
,ENGRI,,,,,,
,ENGRI,1140,Materials: The Future of Energy,Fall,3,R.B. van Dover,(crosslisted) MSE 1140
,Engineering Distribution,,,,,,
,ENGRD,2210,Thermodynamics,"Fall, Summer",3,Fall: E. Fisher; Summer: Staff,(crosslisted) MAE 2210
Core Classes,,,,,,,
,Material Application Electives,,,,,,
CEE,4750/6750,Concrete Materials and Construction,Spring,3,K. Hover,,
ECE,4840/5840,Introduction to Controlled Fusion: Principles and Technology,Spring,3,D. Hammer,"(crosslisted) AEP 4840, MAE 4590",
