Category,Sub-Category,Dept,Course #,Title,Semester,Credit,Faculty,Crosslists
Common Curriculum,ENGRI,ENGRI,1141,Materials: The Future of Energy,Fall,3,R.B. van Dover,(crosslisted) MSE 1141
Core Classes,Primary Concentrations,INFO,4240/5240,Designing Technology for Social Impact ,Fall,3,C. Csikszentmihalyi,(crosslisted) STS 4240 
Core Classes,Secondary Concentrations,INFO,4240/5240,Designing Technology for Social Impact ,Fall,3,C. Csikszentmihalyi,(crosslisted) STS 4240 
Core Classes,Secondary Concentrations,CRP,3211,Introduction to Quantitative Methods for the Analysis of Public Policy,Fall,3,N. Klein,
Core Classes,Major Approved Electives,INFO,4240/5241,Designing Technology for Social Impact ,Fall,3,C. Csikszentmihalyi,(crosslisted) STS 4240 
Core Classes,Major Approved Electives,CRP,3211,Introduction to Quantitative Methods for the Analysis of Public Policy,Fall,3,N. Klein,
