Common Curriculum,,,,,,,
,ENGRI,,,,,,
,ENGRI,1140,Materials: The Future of Energy,Fall,3,R.B. van Dover,(crosslisted) MSE 1140
,Engineering Distribution,,,,,,
,ENGRD,2210,Thermodynamics,"Fall, Summer",3,Fall: E. Fisher; Summer: Staff,(crosslisted) MAE 2210
CEE,3040,Uncertainty Analysis in Engineering,Fall,4,R.A. Daziano,,
Core Classes,,,,,,,
CHEME,4620,Chemical Engineering Design,Spring,5,"A. Woltornist, Staff",,
,Electives,,,,,,
CHEME,5610,Concepts of Chemical Engineering Product Design and Lean Manufacturing,Fall,3,A. Woltornist,,
