Category,Sub-Category,Dept,Course #,Title,Semester,Credit,Faculty,Crosslists
Common Curriculum,ENGRI,ENGRI,3280,Materials: The Future of Energy,Fall,3,R.B. van Dover,(crosslisted) MSE 1141
Common Curriculum,Engineering Distribution,ENGRD,4350,Thermodynamics,"Fall, Summer",3,Fall: E. Fisher; Summer: Staff,(crosslisted) MAE 2211
Core Classes,,MAE,3241,Heat Transfer,"Spring, Summer",3,Staff,
Core Classes,Senior Design Elective,MAE,4022,Wind Power,Fall,4,R. Barthelmie,
Core Classes,Math Elective,CEE,3041,Uncertainty Analysis in Engineering,Fall,4,R.A. Daziano,
Core Classes,Technical Elective,BIOEE,1610,Introductory Biology: Ecology and the Environment,"Fall, Spring, Summer",4,"Fall, X. Xu; Spring, R. Howarth; Summer, J. St. Juliana",
Core Classes,Technical Elective,BIOSM,1610,Ecology and the Marine Environment,Summer,3,"J. Factor, J. Sparks",
Core Classes,Major Approved Elective,MAE,4020/5020,Wind Power,Fall,3,R. Barthelmie,
